Text,Type
kurt russell,Actor
snake plissken,Character_Name
1988,Year
bruce willis,Actor
nypd officer,Plot
john mcclane,Character_Name
classic,Genre
jimmy stewart,Actor
wholesome young man who gets involved with corrupt politicians,Plot
a group of women competing to determine who is the maid of honor,Plot
epic,Opinion
colin firth,Actor
academy award,Award
best actor,Award
historical drama,Genre
yasujiro ozu,Director
emotionally devastating,Opinion
drama,Genre
a couple coming to visit their children in japan,Plot
1948,Year
judy garland,Actor
fred astaire,Actor
a dancing team who drift apart and find new partners,Plot
small town that is exposed to a chemical spill essentially turning them into zombies,Plot
children,Genre
a family of four inch people living in a 14 year old boy s home,Plot
a boy and a tiger get shipwrecked and are stranded on a boat,Plot
models hamlet through a family of lions in the african sahara,Plot
made by disney,Origin
a soft spoken writer as he completes what many consider to be his greatest work,Plot
90 s era,Year
keanu reeves,Actor
sandra bullock,Actor
reindeer at the north pole who gets teased because of the color of his nose,Plot
humphrey bogart,Actor
best film ever made,Opinion
here s looking at you kid,Quote
2006,Year
academy awards,Award
best documentary winner,Award
an animal s arctic yearly migration,Plot
best picture,Award
very famous,Opinion
book about sisters living in the 1800 s,Origin
sigourney weaver,Actor
science fiction horror,Genre
ridley scott,Director
sequels,Relationship
animated bear who has friends like a pig and a tiger,Plot
1954,Year
stanley donen,Director
the courting of a group of females by a group of related males,Plot
2011,Year
animated,Genre
itself a sequel,Relationship
jack black,Actor
miyazaki,Director
oscar for best animated feature,Award
1968,Year
horror,Genre
the bear who has friends that are a rabbit kangaroo and a tigger,Plot
two hitmen a boxer a gangsters wife all four of them intertwine with each other throughout various parts in the film,Plot
geena davis,Actor
and,Plot
susan sarandon,Actor
take off in a thunderbird,Plot
drew barrymore,Actor
justin long,Actor
have a relationship even though they live on opposite coasts,Plot
grumpy semi bald guy that relives the same day over and over,Plot
1997,Year
masterpiece,Opinion
james cameron,Director
a ship crashing into an iceberg,Plot
2010,Year
leonardo dicaprio,Actor
police officer investigating an asylum,Plot
female friendly,Opinion
adult comedy,Genre
melissa mccarthy,Actor
a tomboy ish sexed crazed sister of the groom,Plot
melville novel,Origin
a monomaniacal sea captain hunting a giant white whale,Plot
ang lee,Director
oscar nominated for best picture,Award
winning the best foreign language film oscar,Award
christopher reeve,Actor
playwright who finds a way to go into the past to find the woman he loves,Plot
coen brothers,Director
a playwright moving to california to work for movie producers,Plot
blockbuster,Opinion
70 s,Year
sylvester stallone,Actor
philadelphia boxer,Plot
1968,Year
hal 9000,Character_Name
stanley kubrick,Director
1989,Year
a close circle of friends,Plot
shirley maclaine,Actor
olympia dukakis,Actor
french documentary,Genre
jacques yves cousteau,Director
louis malle,Director
exploring the underwater depths of the oceans,Plot
shakespeare,Origin
black man married to a white woman that he kills,Plot
chinese thriller,Genre
academy award,Award
the departed,Relationship
ridley scott,Director
about machines who have come to believe they are human,Plot
2011,Year
ryan reynolds,Actor
test pilot given an alien ring,Plot
early 90,Year
horror,Genre
peter jackson,Director
old guy who creates a theme park about dinosaurs that get loose,Plot
2010,Year
robert downey jr,Actor
sience fiction horror,Genre
joel edgerton,Actor
astronauts crash land on this earth like planet where humans are caged and treated like zoo animals,Plot
john singleton,Director
ice cube,Actor
cuba gooding,Actor
a girl with really really long hair gets stuck high in a tower where a lady keeps her,Plot
william friedkin,Director
1977,Year
sorcerer,Plot
1953,Year
thriller,Genre
of men trying to drive truck load of explosives across dangerous terrain,Plot
shakespeare,Origin
guy who says,Plot
to be or not to be,Quote
louis armstrong,Actor
barbra streisand,Actor
musical,Genre
bruce willis,Actor
80 s,Year
action,Genre
a man in the wrong place at the wrong time,Plot
a down and out actor that goes in drag for the ultimate role a leading woman on a soap opera,Plot
2010,Year
childrens,Genre
based on a beloved book,Origin
about two sisters growing up and dealing with each other,Plot
pixar animation,Genre
robot that ends up saving the human race and earth in the future,Plot
a cop gets stuck crawling around in a building trying to take down some terrorists,Plot
classic,Opinion
the story of an alien who comes to earth with a giant metal robot his mission is to issue the people of earth an ultimatum,Plot
love story,Genre
best picture,Award
nineties,Year
the man of steal and his great love,Plot
lois,Character_Name
wes anderson,Director
animated,Genre
adaption of roald dahl s story,Origin
george clooney,Actor
meryl streep,Actor
2012,Year
american war film,Genre
chris hemsworth,Actor
dan bradley,Director
2010,Year
danny trejo,Actor
ex federale who seek revenge on the man who hired him to assassinate an important government official,Plot
serial killer who invaded the dreams of local teenagers,Plot
classic film,Genre
natalie wood,Actor
rita moreno,Actor
takes place in the city of lights,Plot
owen wilson,Actor
musical,Genre
barbara streisand,Actor
the 1920 s broadway star,Plot
fanny brice,Character_Name
story of a preteen who s life is changed after befriending the new girl at school,Plot
tom hanks,Actor
1998,Year
jeff bridges,Actor
john goodman,Actor
the dude who is mistaken for a millionaire and seeks restitution for his ruined rug,Plot
jack nicholson,Actor
nicholas cage,Actor
he rides around on a motorcycle and gets fire on his head when he is mad,Plot
based on a comic book,Origin
a baseball coach and his assistant using reject baseball players to form a winning team,Plot
judy garland,Actor
dorothy,Character_Name
toto,Character_Name
tin man,Character_Name
cowardly lion,Character_Name
scarecrow,Character_Name
a journey down the yellow brick road,Plot
comedy,Genre
russell brand,Actor
eccentric musician,Plot
jonah hill,Actor
young assistant,Plot
sequel,Relationship
2011,Year
about a bunch of guys who went to thailand and had the worst hangover of all time,Plot
2012,Year
oliver megaton,Director
followed up the fallout of bryan mills rescue of his kidnapped daughter,Plot
russel crow,Actor
a very smart guy who has a deaf baby,Plot
nicholas sparks story,Origin
miley cyrus,Actor
liam hemsworth,Actor
scorcese,Director
masterpiece,Opinion
about the boxer jake lamotta,Plot
clive barker,Director
horror,Genre
an urban legend is brought to life by saying his name into a mirror,Plot
ben stiller,Actor
leader of a group of employees who are cheated out of their money by a crooked businessman,Plot
1951,Year
adventure,Genre
robert morley,Actor
katharine hepburn,Actor
samuel,Character_Name
rose saye,Character_Name
cary grant,Actor
a reporter trying to keep his ex from remarrying and moving to the country,Plot
playful,Opinion
romantic comedy,Genre
meryl streep,Actor
tommy lee jones,Actor
a sex therapist,Plot
steve carell,Actor
counsels a couple to put excitement back into their marriage,Plot
ron howard,Director
george lucas,Director
evil queen arrests all pregnant women,Plot
montgomery clift,Actor
murders,Plot
shelley winters,Actor
because he is desperately in love with,Plot
elizabeth taylor,Actor
george stevens,Director
80,Year
nicholas cage,Actor
holly hunter,Actor
kidnappers,Plot
steal a baby,Plot
dominic toretto,Character_Name
and his crew plan a massive heist to secure their future,Plot
latest movie of this franchise,Relationship
a teenager in new york is changed into a monster,Plot
sigourney weaver,Actor
ripley,Character_Name
high quality,Opinion
james cameron,Director
archeologist and adventurer who tries to find something important before the nazis get their hand son it,Plot
mid 2000 s,Year
stoner knights,Plot
natalie portman,Actor
comedy,Genre
90 s,Year
dark comedy thriller,Genre
coen brothers,Director
a murder in north dakota,Plot
involves a man finding a drug that can change his whole future but must keep away from ruthless thugs,Plot
a disfigured man who famously yells that he is not an animal,Plot
an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets,Plot
the animals in the woods,Plot
katherine hepburn,Actor
humphrey bogart,Actor
missionary who convinces the drunken captain of a dilapidated steamboat to help her torpedo a german ship during world war i,Plot
60 s,Year
george romero,Director
horror,Genre
about a group of people who attempt to survive a zombie holocaust,Plot
comedy,Genre
woman who is jealous when her friend decides to get married,Plot
2003,Year
about a fish in search of his son,Plot
won several oscars including best animated feature,Award
the peanuts gang,Character_Name
learning the true spirit on the holiday season,Plot
2010,Year
comedy,Genre
kristen bell,Actor
josh duhamel,Actor
two opposites that fall in love in a european country,Plot
a lawman in the wild west who brings down famous outlaws,Plot
1990,Year
american horror,Genre
tom savini,Director
remake of george a romero s 1968 horror film,Origin
of the same name,Relationship
best picture,Award
1984,Year
academy awards,Award
milos foreman,Director
f murray abraham,Actor
oscars,Award
jack nicholson,Actor
louise fletcher,Actor
oscars,Award
1975,Year
drama,Genre
kurt russell,Actor
a group of scientists in the arctic that get attacked by a creature that can mimic any living thing,Plot
bruce willis,Actor
a new york cop who squares off against,Plot
alan rickman,Actor
when two kids play an old magic board game they found they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game,Plot
1995,Year
comedy adventure,Genre
robin williams,Actor
david naughton,Actor
young man from the u s who gets bitten by a mythical beast as he backpacks abroad,Plot
3 rd movie in the beloved series,Relationship
based off the best selling books by british author j k rowling,Origin
2012,Year
ang lee,Director
based on the best selling book of the same name,Origin
a boy and a tiger,Plot
brad pitt,Actor
anthony hopkins,Actor
three brothers and their father living in the remote wilderness in the 1900 s,Plot
a book comes to life for a young boy and he is transported into the story and has to save a princess,Plot
nature documentary,Genre
an animal that gets separated from its family and then gets adopted,Plot
transplanted to mars a civil war vet discovers a lush planet inhabited by 12 foot tall barbarians,Plot
2012,Year
action adventure,Genre
low rated,Opinion
spoofs,Genre
teen flicks,Plot
star sparkling heart throbs and werewolves,Plot
1970,Year
robert altman,Director
war movie,Genre
a space ship,Plot
queen latifah,Actor
dolly parton,Actor
leaders of a church choir,Plot
tyler perry,Director
big black woman has to be exported to protect herself,Plot
1980,Year
comedy,Genre
zucker brothers,Director
jim abrahams,Director
edgar rice burroughs short story,Origin
goldie hawn bette midler,Actor
diane keaton,Actor
1996,Year
about divorce and revenge,Plot
a comic strip that is about a large great dane,Plot
a boy have to fight his future girlfriend s crazy and villianous ex boyfriends in order to be with her,Plot
war movie,Genre
steven spielberg,Director
tom hanks,Actor
a soldier looking for his brother,Plot
matt damon,Actor
clint eastwood,Director
sean penn,Actor
tim robins,Actor
man who will stop at nothing to catch his daughter s killer,Plot
third installment in the disney pixar film franchise,Relationship
intertwined stories of andy woody buzz and the gang,Plot
jackie chan,Actor
he s an ex cia agent who has to babysit his girlfriend s children,Plot
eddie murphy,Actor
doctor that can talk to animals,Plot
second movie of,Relationship
george lucas,Director
original trilogy,Relationship
science fiction,Genre
1984,Year
mockumentary,Genre
follows the world s loudest band on a world tour,Plot
chris evans,Actor
ready to sock ol,Plot
on the jaw,Plot
2011,Year
marvel,Genre
animated kids movie,Genre
all those spotted dogs running around,Plot
classic,Genre
james stewart,Actor
about a senator with a strong sense of justice who clashes with the washington system,Plot
humphrey bogart,Actor
ingrid bergman,Actor
reunite in africa after a romantic interlude in paris,Plot
judd apatow,Director
paul rudd,Actor
sequel to the movie knocked up,Relationship
2010,Year
robert downey jr,Actor
zach galifianakis,Actor
a soon to be father having to hitch a ride with an aspiring actor in order to make it to the birth of his child,Plot
documentary,Genre
nuremberg rally,Plot
leni riefenstahl,Director
1940 s,Year
musical,Genre
adapted to film,Origin
david fincer,Director
brad pitt,Actor
edward norton,Actor
nicholas cage,Actor
holly hunter,Actor
an infertile couple who decide to kidnap a baby,Plot
coen brothers,Director
andrew garfield,Actor
slinging comic book hero,Plot
2012,Year
action adventure,Genre
fedora wearing professor on a quest to save the world from a group of nazis,Plot
black and white,Genre
steven spielberg,Director
the holocaust,Plot
mel gibson,Actor
mad max,Character_Name
a post apocalyptic world,Plot
lumet,Director
al pacino,Actor
a new york cop who is one of the few cops who are not corrupt,Plot
scorsese,Director
orphan lives in a train station,Plot
animated disney film,Genre
2012,Year
involves video games,Plot
marlon brando,Actor
best actor oscar,Award
talking about being a contender,Plot
a mermaid princess makes a faustian bargain with a mean seahag in order to meet a human prince on land,Plot
epic,Opinion
tale about how,Plot
arnold,Character_Name
rises up to avenge his parents,Plot
roman polanski,Director
70 s,Year
jack nicholson,Actor
many awards,Award
x rated,Director
animated,Genre
based on the character created by robert crumb,Origin
robert redford,Actor
this,Origin
neil simon,Director
romantic comedy,Genre
a us president who must save the world from vampires,Plot
fantasy,Genre
owen wilson,Actor
woody allen,Director
2001,Year
oscars,Award
middle aged high school baseball coach tries out and gets to play on major league baseball team,Plot
1937,Year
war movie,Genre
jean renoir,Director
considered to be one of the greatest films of all time,Opinion
collection of,Plot
based around a club that sings,Plot
indiana jones,Character_Name
considered the best of the series,Opinion
harrison ford,Actor
seeks to track down and recover a legendary biblical icon,Plot
1984,Year
bernard malamud 1952 novel,Origin
about baseball,Plot
robert redford,Actor
a young woman that eats a poisoned apple given to her by an evil witch because the mirror says she s the fairest of them all,Plot
benedict slade,Character_Name
receives a visit from 3 spirits,Plot
spin on a christmas classic,Origin
channing tatum,Actor
an undercover cop who goes undercover in a high school,Plot
roman polanski,Director
adrien brody,Actor
musician from the warsaw ghetto,Plot
classic,Opinion
love story,Genre
barbra streisand,Actor
robert redford,Actor
musical movie,Genre
2012,Year
whitney houston,Actor
jordin sparks,Actor
steinbeck novel,Origin
set in the great depression,Plot
2012,Year
kate beckinsale,Actor
selene,Character_Name
at the close of wwii a young nurse tends to a badly burned plane crash victim,Plot
1996,Year
romantic war drama,Genre
won 9 oscars,Award
classic,Opinion
a shark,Plot
peter benchley book,Origin
second in its series,Relationship
fantasy,Genre
based on a classic book by tolkien,Origin
story of a forbidden and secretive relationship between two cowboys and their lives over the years,Plot
huge box office hit,Opinion
2009,Year
a family who records strange things happening in their home at night,Plot
2003,Year
fantasy,Genre
oscar for best picture,Award
1942,Year
errol flynn,Actor
portrays a real life boxing champion,Plot
1971,Year
ultra violent,Opinion
crime,Genre
stanley kubrick,Director
adapted from anthony burgess 1962 novella of the same name,Origin
richard dreyfuss,Actor
sees strange lights in the sky and is compelled to go to devil s tower in wyoming,Plot
classic,Genre
george lucas,Director
space opera,Genre
first in the series,Relationship
tells the tales,Plot
luke skywalker,Character_Name
princess leia,Character_Name
horror,Genre
bad guy who goes after kids in their dreams,Plot
recreates the image of one of our greatest president into that of a abolisher of bloodsucking monsters,Plot
1990 s,Year
bus drivers need to stay above 50 mph to keep the bus from exploding,Plot
stephen king story,Origin
a man who was wrongfully imprisoned yet patiently awaits his chance to escape,Plot
sci fi,Genre
drew barrymore,Actor
little girl,Plot
1982,Year
epic,Opinion
ben kingsley,Actor
famous indian lawyer activist and pacifist,Plot
marlon brando,Actor
an ex prize fighter turned longshoreman struggles to stand up to his corrupt union bosses,Plot
an unemployed actor with a reputation for being difficult disguises himself as a woman to get a role,Plot
dustin hoffman,Actor
comedy,Genre
romantic comedy,Genre
a woman who s sick of being single makes a wish in a fountain while in rome for her sister s wedding,Plot
the man of steel in it and he comes from another planet,Plot
a reindeer that is not accepted by his peers but he saves the day for santa clause,Plot
2012,Year
anthony hemingway,Director
terrence howard,Actor
cuba gooding jr,Actor
a girl who is turned into a frog by a magical spell,Plot
marion crane,Actor
takes a room at the bates motel,Plot
russell crowe,Actor
mathematician that had mental issues and in one scene describes some group theory about ignoring some blonde,Plot
robert redford,Actor
paul newman,Actor
as con men who attempt to settle the score with a mob boss,Plot
marlon brando,Actor
50 s,Year
takes place during world war two and documents three lives,Plot
controversial but well received,Opinion
american cowboys and homosexuality,Plot
john wayne,Actor
four sons avenging the death of their father and honoring the memory of their mother,Plot
coen brothers,Director
cult classic,Opinion
john goodman,Actor
jeff bridges,Actor
the dude,Character_Name
find themselves on the wrong side of a kidnapping,Plot
classic,Genre
kurosawa,Director
each character relays a story to an independent listener and the audience showing that there are often multiple versions of the truth,Plot
2012,Year
adam sandler,Actor
father who got his school teacher pregnant in the past as a young boy,Plot
sci fi,Genre
harrison ford,Actor
about a man who tracks down and kills human clones,Plot
remade,Origin
cheesy,Opinion
80 s,Origin
titans and an owl made of metal,Plot
pixar,Director
animation,Genre
2008,Year
that stars a robot,Plot
sequel,Relationship
humorous,Opinion
postmodern,Genre
neighboring gardens of montague and capulet are at war,Plot
2011,Year
family animation,Genre
beatles,Actor
the band preparing for a television appearance,Plot
slasher,Genre
featured a killer wearing a mask based upon william shatner s likeness,Plot
1979,Year
steven spielberg,Director
i love the smell of napalm in the morning,Quote
martin sheen,Actor
marlon brando,Actor
2012,Year
danny devito zac efron,Actor
taylor swift,Actor
depicting the inhabitants of thneedville,Plot
wes craven,Director
1984,Year
classic,Origin
horror,Genre
1984,Year
remade,Relationship
2012,Year
features a group of american teenagers defending their town against foreign invaders,Plot
1994,Year
quentin tarantino,Director
john travolta,Actor
uma thurman,Actor
hitman bandits a boxer and a gangster s wife,Plot
cher,Actor
set in a women s prison,Plot
based on a novel,Origin
tommy lee jones javier bardem,Actor
1975,Year
steven spielberg,Director
roy scheider,Actor
2010,Year
horror,Genre
seven connected children who are stalked by a serial killer,Plot
1998,Year
animated movie,Genre
depicting a totalitarian society starring a neurotic bug,Plot
an adventurous archaeologist who searches egypt for an ancient biblical relic,Plot
1993,Year
sylvester stallone,Actor
john lithgow,Actor
a boy wizard and his friends that look to destroy magic charms that contain the soul of a dark magician,Plot
julia roberts,Actor
sally field olympia dukakis and shirley macclaine,Actor
2010,Year
jeff bridges,Actor
u s marshall helping a girl track down her father s killer,Plot
animated comedy,Genre
2010,Year
steve carrell,Actor
super villain who adopts three girls,Plot
edward g robinson,Actor
rico bandello,Character_Name
1931,Year
romantic comedy,Genre
emma stone,Actor
ryan gosling,Actor
steve carell,Actor
oscar,Award
a world leader who has an embarrassing impediment,Plot
fantasy horror,Genre
about a u s president,Plot
1957,Year
a war hardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of spider s web castle,Plot
weird,Opinion
indie,Genre
screenwriter who comes down with a bad case of writer s block and may or may not be living next to a serial killer,Plot
political thriller,Genre
matt damon,Actor
1993,Year
war drama,Genre
steven spielberg,Director
liam neeson,Actor
a man claiming to be santa clause gets institutionalized and is represented by a young man in court,Plot
2010,Year
comedy farce,Genre
dopey teens and the characters of the young adult phenomena twilight,Plot
remake,Relationship
john wayne,Actor
classic,Opinion
bounty hunter,Plot
rooster cogburn,Character_Name
tells the story of three men are reunited by circumstance when one loses a daughter after living with a childhood tragedy that overshadowed their lives,Plot
deniro,Actor
a guy in new york city who looses his grip on reality,Plot
paul newman,Actor
a hockey coach player that has to control the antics of three out of control brothers,Plot
disney classic,Genre
a carpenter s creation coming to life and getting into adventures,Plot
two british track athletes one a determined jew and the other a devout christian competing in the 1924 olympics,Plot
2011,Year
a chameleon accidentally winds up in the town of dirt,Plot
steve mcqueen,Actor
pete yates,Director
1968,Year
classic,Opinion
american,Genre
fast paced,Opinion
thriller,Genre
ben stiller,Actor
robert deniro,Actor
leonardo dicaprio,Actor
shakespere,Origin
a girl pretends to be a slut in high school in order to gain popularity,Plot
kevin bacon,Actor
john lithgow,Actor
1984,Year
a town that does not allow teenagers to listen to rock and roll,Plot
animated,Genre
set in new orleans and features a reptile s only chance at being human again,Plot
zach snyder,Director
2010,Year
animated,Genre
involving armor clad owls that battle each other,Plot
vivien leigh,Actor
marlon brando,Actor
stanley,Character_Name
the lives of guards on death row are affected by one of their charges a black man accused of murder and rape but he has a mysterious gift,Plot
pixar,Genre
unusual lead characters of an old man and a boy scout who go on an adventure in a floating house,Plot
classic,Genre
the life of a newspaper man and his paper,Plot
greatest film ever made,Opinion
animated,Genre
monster falls in love with the girl and turns back into a human again,Plot
1975,Year
psychosomatically deaf dumb and blind boy becomes a master pinball,Plot
1961,Year
a pool player that takes on a long time champion,Plot
female boxer,Plot
a real tear jerker,Opinion
depression era lawyer and his defense of a black man against an undeserved rape charge,Plot
ends with a final showdown on the face of mount rushmore,Plot
gangster gets his dog kidnapped by a group of men,Plot
a deaf dumb and blind boy overcomes all and becomes a master pinball player,Plot
ken russell,Director
1986,Year
american mystery,Genre
eccentric college student who returning from visiting his ill father in the hospital comes across a human ear in a field in his hometown of lumberton,Plot
documentary,Genre
lucy walker,Director
the life of garbage pickers,Plot
1968,Year
franco zeffirelli,Director
the story of two star crossed lovers whose families tear them apart,Plot
2010,Year
3 d computer animated fantasy,Genre
dreamworks,Director
english 2003 book,Origin
chris sanders,Director
dean deblois,Director
2012,Year
ridley scott,Director
association with the alien franchise,Origin
1931,Year
vampire horror,Genre
tod browning,Director
bela lugosi,Actor
about a talking pig on a farm,Plot
animated,Genre
a boy being bullied is misunderstood,Plot
will ferrel,Actor
mark walhberg,Actor
a pair of goofy cops that have a chance to become the city top cops and make a mess of it,Plot
1990,Year
johnny depp,Actor
gentle boy who falls in love,Plot
winona ryder,Actor
tim burton,Director
animated,Genre
cult favorite,Opinion
jack skellington,Character_Name
misguided attempt to transform halloweentown into something quite different,Plot
farrelly brothers,Director
update of a very early television program,Origin
concerns three clumsy brothers,Plot
george lucas,Director
1977,Year
space adventure,Genre
2010,Year
animated,Genre
a young viking who while domesticating a mythical creature learned to appreciate the once fearsome beast,Plot
classic,Opinion
christmas,Genre
jimmy stewart,Actor
a man who ponders the question of his life,Plot
slyvester stallone,Actor
aspiring boxer who tries to win the heavyweight title,Plot
natalie wood,Actor
warren beatty,Actor
two teenagers who fall in love during their youth,Plot
1968,Year
stanley kubrick,Director
featured an intelligent computer,Plot
h a l 9000,Character_Name
on a journey in space,Plot
bruce willis,Actor
samuel l jackson,Actor
bruce willis,Actor
a man who discovers he is a superhero,Plot
animation,Genre
the beginning of two different organizations for supermutants,Plot
steven speilberg,Director
a giant shark that kills people off the coast of connecticut,Plot
humphrey bogart,Actor
william holden,Actor
audrey hepburn,Actor
1954,Year
billy wilder,Director
alfonso cuar,Director
third installment of a popular series,Relationship
about a wizard,Plot
modern,Opinion
classic mob,Genre
story of the life of henry hill before he entered the witness protection program,Plot
the title characters are a very old woman and a neurotic teenage boy who falls in love with her,Plot
a man with a unfulfilling and depressing lifestyle finds solace in starting fights in an underground group,Plot
foreign language,Genre
won many awards,Award
takes place in the slums of brazil,Plot
1993,Year
book written by michael crichton in 1990,Origin
masked killer is out for blood on the most horrifying night of the year,Plot
2010,Year
based on a fantasy novel written my c s lewis,Origin
kristen wiig,Actor
parody,Genre
of the famous tv classic macguyver,Origin
federico fellini,Director
marcello mastroianni,Actor
anita ekberg,Actor
2001,Year
american biographical drama,Genre
john nash,Character_Name
a brilliant mathematician,Plot
russell crowe,Actor
liam neeson,Actor
wolves oil rig workers and an alaskan setting,Plot
based on the true story of the black september aftermath,Origin
five men chosen to eliminate the ones responsible for that fateful day,Plot
1939,Year
judy garland,Actor
her travels on the yellow brick road,Plot
animated,Genre
jack black,Actor
sequel,Relationship
dealing with a fighting group of animals,Plot
animated disney cartoon,Genre
young woman is hunted by a witch for being the fairest of them all according to a magic mirror,Plot
indie,Genre
a lesbian couple and their two kids and the man who throws their lives into turmoil,Plot
an exclusive golf course has to deal with a brash new member and a destructive dancing gopher,Plot
1980,Year
comedy,Genre
epic,Opinion
documentary,Genre
