File,Line,Begin Offset,End Offset,Type
train_document.txt,58,35,109,Plot
train_document.txt,59,36,71,Plot
train_document.txt,59,85,123,Plot
train_document.txt,60,5,12,Genre
train_document.txt,60,28,36,Actor
train_document.txt,60,74,108,Origin
train_document.txt,61,23,39,Actor
train_document.txt,61,46,103,Plot
train_document.txt,62,29,32,Year
train_document.txt,62,43,112,Plot
train_document.txt,63,12,15,Year
train_document.txt,63,24,29,Genre
train_document.txt,63,43,59,Relationship
train_document.txt,63,86,93,Character_Name
train_document.txt,63,99,106,Character_Name
train_document.txt,63,111,168,Plot
train_document.txt,64,12,16,Genre
train_document.txt,64,30,124,Plot
train_document.txt,65,12,17,Relationship
train_document.txt,65,26,29,Year
train_document.txt,65,42,85,Plot
train_document.txt,66,32,135,Plot
train_document.txt,67,12,25,Genre
train_document.txt,67,84,93,Actor
train_document.txt,68,27,40,Actor
train_document.txt,68,48,66,Plot
train_document.txt,68,84,98,Director
train_document.txt,69,0,12,Actor
train_document.txt,69,29,38,Actor
train_document.txt,69,47,60,Opinion
train_document.txt,69,62,98,Plot
train_document.txt,70,0,66,Plot
train_document.txt,71,12,15,Year
train_document.txt,71,17,31,Genre
train_document.txt,71,47,56,Actor
train_document.txt,71,62,74,Actor
train_document.txt,71,111,121,Character_Name
train_document.txt,72,11,21,Genre
train_document.txt,72,29,96,Plot
train_document.txt,73,5,19,Director
train_document.txt,73,57,69,Actor
train_document.txt,73,104,120,Quote
train_document.txt,74,5,8,Year
train_document.txt,74,10,21,Actor
train_document.txt,74,38,100,Plot
train_document.txt,75,6,9,Year
train_document.txt,75,11,35,Genre
train_document.txt,75,54,67,Director
train_document.txt,75,75,86,Actor
train_document.txt,75,91,104,Character_Name
train_document.txt,76,12,15,Year
train_document.txt,76,32,43,Actor
train_document.txt,76,60,71,Plot
train_document.txt,76,73,84,Character_Name
train_document.txt,77,22,28,Genre
train_document.txt,77,44,56,Actor
train_document.txt,77,63,124,Plot
train_document.txt,78,79,142,Plot
train_document.txt,79,80,83,Opinion
train_document.txt,80,0,10,Actor
train_document.txt,80,19,31,Award
train_document.txt,80,37,46,Award
train_document.txt,80,73,88,Genre
train_document.txt,81,0,11,Director
train_document.txt,81,32,54,Opinion
train_document.txt,81,56,60,Genre
train_document.txt,81,68,115,Plot
train_document.txt,82,18,21,Year
train_document.txt,82,39,50,Actor
train_document.txt,82,56,67,Actor
train_document.txt,82,72,123,Plot
train_document.txt,83,33,116,Plot
train_document.txt,84,11,18,Genre
train_document.txt,84,42,104,Plot
train_document.txt,85,24,83,Plot
train_document.txt,86,23,83,Plot
train_document.txt,86,85,98,Origin
train_document.txt,87,35,113,Plot
train_document.txt,88,21,28,Year
train_document.txt,88,75,86,Actor
train_document.txt,88,92,105,Actor
train_document.txt,89,26,100,Plot
train_document.txt,90,5,19,Actor
train_document.txt,90,55,73,Opinion
train_document.txt,90,103,127,Quote
train_document.txt,91,19,22,Year
train_document.txt,91,24,37,Award
train_document.txt,91,44,66,Award
train_document.txt,91,74,108,Plot
train_document.txt,91,132,143,Award
train_document.txt,92,41,51,Opinion
train_document.txt,92,53,91,Origin
train_document.txt,93,0,15,Actor
train_document.txt,93,31,52,Genre
train_document.txt,93,71,82,Director
train_document.txt,93,97,103,Relationship
train_document.txt,94,31,82,Plot
train_document.txt,95,24,27,Year
train_document.txt,95,47,59,Director
train_document.txt,95,72,133,Plot
train_document.txt,96,5,8,Year
train_document.txt,96,10,17,Genre
train_document.txt,96,24,38,Relationship
train_document.txt,96,48,57,Actor
train_document.txt,97,5,12,Director
train_document.txt,97,26,56,Award
train_document.txt,98,13,16,Year
train_document.txt,98,18,23,Genre
train_document.txt,99,24,87,Plot
train_document.txt,100,38,153,Plot
train_document.txt,101,48,58,Actor
train_document.txt,101,60,62,Plot
train_document.txt,101,64,77,Actor
train_document.txt,101,83,107,Plot
train_document.txt,102,36,49,Actor
train_document.txt,102,55,65,Actor
train_document.txt,102,67,126,Plot
train_document.txt,103,28,87,Plot
train_document.txt,104,13,16,Year
train_document.txt,104,18,28,Opinion
train_document.txt,104,42,54,Director
train_document.txt,104,66,96,Plot
train_document.txt,105,13,16,Year
train_document.txt,105,33,49,Actor
train_document.txt,105,56,93,Plot
train_document.txt,106,5,19,Opinion
train_document.txt,106,21,32,Genre
train_document.txt,106,63,78,Actor
train_document.txt,106,83,127,Plot
train_document.txt,107,30,43,Origin
train_document.txt,107,51,104,Plot
train_document.txt,108,5,11,Director
train_document.txt,108,22,53,Award
train_document.txt,108,61,104,Award
train_document.txt,109,27,43,Actor
train_document.txt,109,50,122,Plot
train_document.txt,110,7,19,Director
train_document.txt,110,41,101,Plot
train_document.txt,111,21,31,Opinion
train_document.txt,111,33,36,Year
train_document.txt,111,54,71,Actor
train_document.txt,111,78,95,Plot
train_document.txt,112,2,5,Year
train_document.txt,112,18,25,Character_Name
train_document.txt,112,39,53,Director
train_document.txt,113,18,21,Year
train_document.txt,113,35,59,Plot
train_document.txt,113,70,85,Actor
train_document.txt,113,91,105,Actor
train_document.txt,114,12,29,Genre
train_document.txt,114,43,63,Director
train_document.txt,114,69,79,Director
train_document.txt,114,87,131,Plot
train_document.txt,115,12,22,Origin
train_document.txt,115,38,85,Plot
train_document.txt,116,5,20,Genre
train_document.txt,116,73,85,Award
train_document.txt,116,100,111,Relationship
train_document.txt,117,15,26,Director
train_document.txt,117,31,84,Plot
train_document.txt,118,12,15,Year
train_document.txt,118,32,44,Actor
train_document.txt,118,51,80,Plot
train_document.txt,119,11,18,Year
train_document.txt,119,22,27,Genre
train_document.txt,119,76,88,Director
train_document.txt,120,28,90,Plot
train_document.txt,121,5,8,Year
train_document.txt,121,25,40,Actor
train_document.txt,122,31,51,Genre
train_document.txt,122,63,75,Actor
train_document.txt,123,0,98,Plot
train_document.txt,124,44,57,Director
train_document.txt,124,68,75,Actor
train_document.txt,124,81,92,Actor
train_document.txt,125,0,84,Plot
train_document.txt,126,10,25,Director
train_document.txt,126,30,33,Year
train_document.txt,126,38,45,Plot
train_document.txt,126,52,55,Year
train_document.txt,126,57,64,Genre
train_document.txt,126,82,153,Plot
train_document.txt,127,23,33,Origin
train_document.txt,127,51,62,Plot
train_document.txt,127,64,81,Quote
train_document.txt,128,0,14,Actor
train_document.txt,128,85,100,Actor
train_document.txt,128,102,108,Genre
train_document.txt,129,0,11,Actor
train_document.txt,129,29,32,Year
train_document.txt,129,34,39,Genre
train_document.txt,129,52,93,Plot
train_document.txt,130,37,128,Plot
train_document.txt,131,12,15,Year
train_document.txt,131,17,25,Genre
train_document.txt,131,32,54,Origin
train_document.txt,131,56,111,Plot
train_document.txt,132,9,23,Genre
train_document.txt,132,38,101,Plot
train_document.txt,133,0,81,Plot
train_document.txt,134,19,25,Opinion
train_document.txt,134,43,164,Plot
train_document.txt,135,5,14,Genre
train_document.txt,135,51,62,Award
train_document.txt,135,76,83,Year
train_document.txt,136,40,74,Plot
train_document.txt,136,76,79,Character_Name
train_document.txt,137,0,11,Director
train_document.txt,137,27,34,Genre
train_document.txt,137,36,65,Origin
train_document.txt,137,91,104,Actor
train_document.txt,137,110,121,Actor
train_document.txt,138,12,15,Year
train_document.txt,138,17,33,Genre
train_document.txt,138,44,58,Actor
train_document.txt,138,76,86,Director
train_document.txt,139,18,21,Year
train_document.txt,139,38,48,Actor
train_document.txt,139,56,156,Plot
train_document.txt,140,27,81,Plot
train_document.txt,141,19,30,Genre
train_document.txt,141,41,52,Actor
train_document.txt,141,58,68,Actor
train_document.txt,142,11,43,Plot
train_document.txt,142,54,64,Actor
train_document.txt,143,12,18,Genre
train_document.txt,143,29,45,Actor
train_document.txt,143,57,80,Plot
train_document.txt,143,82,92,Character_Name
train_document.txt,144,21,101,Plot
train_document.txt,145,20,28,Actor
train_document.txt,146,12,15,Year
train_document.txt,146,32,43,Actor
train_document.txt,146,49,60,Actor
train_document.txt,146,68,150,Plot
train_document.txt,147,0,13,Actor
train_document.txt,148,23,35,Actor
train_document.txt,148,48,119,Plot
train_document.txt,148,134,154,Origin
train_document.txt,149,27,113,Plot
train_document.txt,150,23,34,Actor
train_document.txt,150,46,52,Character_Name
train_document.txt,150,70,73,Character_Name
train_document.txt,150,79,85,Character_Name
train_document.txt,150,91,103,Character_Name
train_document.txt,150,113,121,Character_Name
train_document.txt,150,128,163,Plot
train_document.txt,151,5,10,Genre
train_document.txt,151,23,35,Actor
train_document.txt,151,43,60,Plot
train_document.txt,151,66,75,Actor
train_document.txt,151,82,96,Plot
train_document.txt,152,30,35,Relationship
train_document.txt,152,51,54,Year
train_document.txt,152,56,136,Plot
train_document.txt,153,5,8,Year
train_document.txt,153,28,41,Director
train_document.txt,153,43,113,Plot
train_document.txt,154,23,33,Actor
train_document.txt,154,45,80,Plot
train_document.txt,155,16,36,Origin
train_document.txt,155,75,85,Actor
train_document.txt,155,102,115,Actor
train_document.txt,156,12,19,Director
train_document.txt,156,21,31,Opinion
train_document.txt,156,67,94,Plot
train_document.txt,157,5,16,Director
train_document.txt,157,18,23,Genre
train_document.txt,157,40,106,Plot
train_document.txt,158,35,45,Actor
train_document.txt,158,54,143,Plot
train_document.txt,159,5,8,Year
train_document.txt,159,10,18,Genre
train_document.txt,159,33,45,Actor
train_document.txt,159,51,67,Actor
train_document.txt,159,72,77,Character_Name
train_document.txt,159,83,91,Character_Name
train_document.txt,160,13,22,Actor
train_document.txt,160,30,103,Plot
train_document.txt,161,2,8,Opinion
train_document.txt,161,10,24,Genre
train_document.txt,161,31,42,Actor
train_document.txt,161,48,62,Actor
train_document.txt,161,64,78,Plot
train_document.txt,161,90,101,Actor
train_document.txt,161,103,162,Plot
train_document.txt,162,30,39,Director
train_document.txt,162,45,56,Director
train_document.txt,162,73,109,Plot
train_document.txt,163,0,15,Actor
train_document.txt,163,17,23,Plot
train_document.txt,163,25,39,Actor
train_document.txt,163,41,78,Plot
train_document.txt,163,80,95,Actor
train_document.txt,163,105,118,Director
train_document.txt,164,19,20,Year
train_document.txt,164,38,50,Actor
train_document.txt,164,56,67,Actor
train_document.txt,164,72,81,Plot
train_document.txt,164,87,98,Plot
train_document.txt,165,0,14,Character_Name
train_document.txt,165,16,71,Plot
train_document.txt,165,80,109,Relationship
train_document.txt,166,34,81,Plot
train_document.txt,167,0,15,Actor
train_document.txt,167,73,78,Character_Name
train_document.txt,167,297,308,Opinion
train_document.txt,167,313,325,Director
train_document.txt,168,25,128,Plot
train_document.txt,169,33,42,Year
train_document.txt,169,50,63,Plot
train_document.txt,169,72,86,Actor
train_document.txt,169,116,121,Genre
train_document.txt,170,12,15,Year
train_document.txt,170,17,36,Genre
train_document.txt,170,54,66,Director
train_document.txt,170,89,112,Plot
train_document.txt,171,43,143,Plot
train_document.txt,172,21,80,Plot
train_document.txt,173,39,158,Plot
train_document.txt,174,35,58,Plot
train_document.txt,175,20,36,Actor
train_document.txt,175,42,56,Actor
train_document.txt,175,69,192,Plot
train_document.txt,176,19,22,Year
train_document.txt,176,41,53,Director
train_document.txt,176,55,60,Genre
train_document.txt,176,67,131,Plot
train_document.txt,177,20,25,Genre
train_document.txt,177,35,93,Plot
train_document.txt,178,5,8,Year
train_document.txt,178,23,55,Plot
train_document.txt,178,57,106,Award
train_document.txt,179,24,39,Character_Name
train_document.txt,179,41,86,Plot
train_document.txt,180,13,16,Year
train_document.txt,180,18,23,Genre
train_document.txt,180,39,50,Actor
train_document.txt,180,56,67,Actor
train_document.txt,180,75,127,Plot
train_document.txt,181,20,75,Plot
train_document.txt,182,12,15,Year
train_document.txt,182,17,31,Genre
train_document.txt,182,50,59,Director
train_document.txt,182,72,115,Origin
train_document.txt,182,117,132,Relationship
train_document.txt,183,15,26,Award
train_document.txt,183,35,38,Year
train_document.txt,183,40,53,Award
train_document.txt,184,9,21,Director
train_document.txt,184,33,48,Actor
train_document.txt,184,54,59,Award
train_document.txt,185,0,13,Actor
train_document.txt,185,19,33,Actor
train_document.txt,185,39,44,Award
train_document.txt,185,79,82,Year
train_document.txt,185,84,88,Genre
train_document.txt,186,27,38,Actor
train_document.txt,186,46,144,Plot
train_document.txt,187,27,38,Actor
train_document.txt,187,43,80,Plot
train_document.txt,187,82,93,Actor
train_document.txt,188,0,166,Plot
train_document.txt,188,188,191,Year
train_document.txt,188,193,208,Genre
train_document.txt,188,219,232,Actor
train_document.txt,189,36,49,Actor
train_document.txt,189,56,136,Plot
train_document.txt,190,4,35,Relationship
train_document.txt,190,47,108,Origin
train_document.txt,191,5,8,Year
train_document.txt,191,10,16,Director
train_document.txt,191,23,69,Origin
train_document.txt,191,80,96,Plot
train_document.txt,192,27,35,Actor
train_document.txt,192,41,55,Actor
train_document.txt,192,63,139,Plot
train_document.txt,193,30,129,Plot
train_document.txt,194,11,28,Genre
train_document.txt,194,36,102,Plot
train_document.txt,195,0,96,Plot
train_document.txt,195,118,121,Year
train_document.txt,195,123,138,Genre
train_document.txt,196,5,13,Opinion
train_document.txt,196,20,25,Genre
train_document.txt,196,31,41,Plot
train_document.txt,196,48,89,Plot
train_document.txt,197,12,15,Year
train_document.txt,197,17,29,Director
train_document.txt,197,31,39,Genre
train_document.txt,198,24,35,Plot
train_document.txt,199,35,47,Actor
train_document.txt,199,53,64,Actor
train_document.txt,199,69,93,Plot
train_document.txt,200,12,22,Director
train_document.txt,200,41,93,Plot
train_document.txt,201,25,28,Year
train_document.txt,201,30,35,Genre
train_document.txt,201,53,67,Director
train_document.txt,201,73,84,Director
train_document.txt,202,79,110,Origin
train_document.txt,203,0,23,Actor
train_document.txt,203,29,40,Actor
train_document.txt,203,55,58,Year
train_document.txt,203,60,84,Plot
train_document.txt,204,27,72,Plot
train_document.txt,205,19,120,Plot
train_document.txt,206,25,33,Genre
train_document.txt,206,47,62,Director
train_document.txt,206,70,78,Actor
train_document.txt,206,86,118,Plot
train_document.txt,206,130,139,Actor
train_document.txt,207,38,51,Director
train_document.txt,207,63,71,Actor
train_document.txt,207,77,86,Actor
train_document.txt,207,94,152,Plot
train_document.txt,208,21,72,Relationship
train_document.txt,208,93,143,Plot
train_document.txt,209,13,23,Actor
train_document.txt,209,37,101,Plot
train_document.txt,210,31,42,Actor
train_document.txt,210,52,82,Plot
train_document.txt,211,24,38,Relationship
train_document.txt,211,40,51,Director
train_document.txt,211,53,68,Relationship
train_document.txt,211,78,92,Genre
train_document.txt,212,20,23,Year
train_document.txt,212,25,36,Genre
train_document.txt,212,43,90,Plot
train_document.txt,213,0,10,Actor
train_document.txt,213,15,30,Plot
train_document.txt,213,38,47,Plot
train_document.txt,213,57,60,Year
train_document.txt,213,62,67,Genre
train_document.txt,214,25,43,Genre
train_document.txt,214,51,87,Plot
train_document.txt,215,5,11,Genre
train_document.txt,215,27,39,Actor
train_document.txt,215,44,128,Plot
train_document.txt,216,40,54,Actor
train_document.txt,216,60,73,Actor
train_document.txt,216,75,127,Plot
train_document.txt,217,18,28,Director
train_document.txt,217,54,62,Actor
train_document.txt,217,75,104,Relationship
train_document.txt,218,12,15,Year
train_document.txt,218,32,47,Actor
train_document.txt,218,53,69,Actor
train_document.txt,218,77,187,Plot
train_document.txt,219,24,34,Genre
train_document.txt,219,43,57,Plot
train_document.txt,219,69,84,Director
train_document.txt,220,5,10,Year
train_document.txt,220,12,18,Genre
train_document.txt,220,30,44,Origin
train_document.txt,221,13,24,Director
train_document.txt,221,39,47,Actor
train_document.txt,221,53,65,Actor
train_document.txt,222,0,12,Actor
train_document.txt,222,18,29,Actor
train_document.txt,222,36,82,Plot
train_document.txt,222,92,104,Director
train_document.txt,223,0,14,Actor
train_document.txt,223,33,56,Plot
train_document.txt,223,66,69,Year
train_document.txt,223,71,86,Genre
train_document.txt,224,23,97,Plot
train_document.txt,225,25,39,Genre
train_document.txt,225,50,65,Director
train_document.txt,225,73,85,Plot
train_document.txt,226,30,39,Actor
train_document.txt,226,44,50,Character_Name
train_document.txt,226,55,78,Plot
train_document.txt,227,11,15,Director
train_document.txt,227,29,37,Actor
train_document.txt,227,45,105,Plot
train_document.txt,228,12,19,Director
train_document.txt,228,45,75,Plot
train_document.txt,229,24,43,Genre
train_document.txt,229,62,65,Year
train_document.txt,229,72,91,Plot
train_document.txt,230,27,39,Actor
train_document.txt,230,47,62,Award
train_document.txt,230,68,98,Plot
train_document.txt,231,28,129,Plot
train_document.txt,232,3,6,Opinion
train_document.txt,232,8,21,Plot
train_document.txt,232,23,28,Character_Name
train_document.txt,232,30,59,Plot
train_document.txt,233,12,25,Director
train_document.txt,233,42,45,Year
train_document.txt,233,52,65,Actor
train_document.txt,233,76,86,Award
train_document.txt,234,13,19,Director
train_document.txt,234,21,28,Genre
train_document.txt,234,43,88,Origin
train_document.txt,235,0,13,Actor
train_document.txt,235,53,56,Origin
train_document.txt,235,79,88,Director
train_document.txt,235,90,104,Genre
train_document.txt,236,34,85,Plot
train_document.txt,237,5,11,Genre
train_document.txt,237,27,37,Actor
train_document.txt,237,82,92,Director
train_document.txt,237,101,104,Year
train_document.txt,237,106,111,Award
train_document.txt,238,39,133,Plot
train_document.txt,239,5,8,Year
train_document.txt,239,10,18,Genre
train_document.txt,239,32,42,Director
train_document.txt,239,58,111,Opinion
train_document.txt,240,39,51,Plot
train_document.txt,240,92,121,Plot
train_document.txt,241,12,24,Character_Name
train_document.txt,241,37,69,Opinion
train_document.txt,241,80,92,Actor
train_document.txt,241,94,150,Plot
train_document.txt,242,9,12,Year
train_document.txt,242,33,58,Origin
train_document.txt,242,60,73,Plot
train_document.txt,242,101,114,Actor
train_document.txt,243,24,147,Plot
train_document.txt,244,10,23,Character_Name
train_document.txt,244,25,55,Plot
train_document.txt,244,65,91,Origin
train_document.txt,245,19,32,Actor
train_document.txt,245,40,93,Plot
train_document.txt,246,5,18,Director
train_document.txt,246,55,66,Actor
train_document.txt,246,73,103,Plot
train_document.txt,247,19,25,Opinion
train_document.txt,247,27,36,Genre
train_document.txt,247,49,64,Actor
train_document.txt,247,70,83,Actor
train_document.txt,248,5,17,Genre
train_document.txt,248,31,34,Year
train_document.txt,248,72,86,Actor
train_document.txt,248,92,104,Actor
train_document.txt,249,34,48,Origin
train_document.txt,249,50,76,Plot
train_document.txt,250,5,8,Year
train_document.txt,250,20,34,Actor
train_document.txt,250,61,66,Character_Name
train_document.txt,251,0,76,Plot
train_document.txt,251,98,101,Year
train_document.txt,251,103,120,Genre
train_document.txt,251,127,138,Award
train_document.txt,252,42,48,Opinion
train_document.txt,252,64,70,Plot
train_document.txt,252,83,101,Origin
train_document.txt,253,24,43,Relationship
train_document.txt,253,45,51,Genre
train_document.txt,253,59,92,Origin
train_document.txt,254,4,101,Plot
train_document.txt,255,17,35,Opinion
train_document.txt,255,82,85,Year
train_document.txt,256,24,91,Plot
train_document.txt,257,5,8,Year
train_document.txt,257,29,35,Genre
train_document.txt,257,59,80,Award
train_document.txt,258,24,27,Year
train_document.txt,258,29,39,Actor
train_document.txt,258,59,94,Plot
train_document.txt,259,6,9,Year
train_document.txt,259,11,23,Opinion
train_document.txt,259,25,29,Genre
train_document.txt,259,69,83,Director
train_document.txt,259,88,145,Origin
train_document.txt,260,17,32,Actor
train_document.txt,260,38,118,Plot
train_document.txt,261,21,27,Genre
train_document.txt,261,29,40,Director
train_document.txt,261,42,52,Genre
train_document.txt,261,62,80,Relationship
train_document.txt,261,86,100,Plot
train_document.txt,261,102,115,Character_Name
train_document.txt,261,121,133,Character_Name
train_document.txt,262,11,16,Genre
train_document.txt,262,36,78,Plot
train_document.txt,263,23,124,Plot
train_document.txt,264,8,13,Year
train_document.txt,264,28,95,Plot
train_document.txt,265,5,22,Origin
train_document.txt,265,33,109,Plot
train_document.txt,266,25,30,Genre
train_document.txt,266,47,60,Actor
train_document.txt,266,67,77,Plot
train_document.txt,267,12,15,Year
train_document.txt,267,17,20,Opinion
train_document.txt,267,36,47,Actor
train_document.txt,267,56,97,Plot
train_document.txt,268,17,29,Actor
train_document.txt,268,41,129,Plot
train_document.txt,269,0,99,Plot
train_document.txt,269,109,122,Actor
train_document.txt,269,124,129,Genre
train_document.txt,270,18,32,Genre
train_document.txt,270,43,142,Plot
train_document.txt,271,27,81,Plot
train_document.txt,272,13,94,Plot
train_document.txt,273,5,8,Year
train_document.txt,273,28,44,Director
train_document.txt,273,55,69,Actor
train_document.txt,273,75,89,Actor
train_document.txt,274,30,80,Plot
train_document.txt,275,39,50,Actor
train_document.txt,275,52,82,Plot
train_document.txt,276,14,26,Actor
train_document.txt,276,44,151,Plot
train_document.txt,277,24,37,Actor
train_document.txt,277,43,53,Actor
train_document.txt,277,55,112,Plot
train_document.txt,278,5,17,Actor
train_document.txt,278,34,37,Year
train_document.txt,278,39,96,Plot
train_document.txt,279,19,49,Opinion
train_document.txt,279,67,100,Plot
train_document.txt,280,25,34,Actor
train_document.txt,280,48,131,Plot
train_document.txt,281,2,14,Director
train_document.txt,281,16,27,Opinion
train_document.txt,281,38,49,Actor
train_document.txt,281,55,66,Actor
train_document.txt,281,71,78,Character_Name
train_document.txt,281,84,132,Plot
train_document.txt,282,12,18,Genre
train_document.txt,282,20,27,Director
train_document.txt,282,43,175,Plot
train_document.txt,283,12,15,Year
train_document.txt,283,29,40,Actor
train_document.txt,283,50,118,Plot
train_document.txt,284,18,23,Genre
train_document.txt,284,40,52,Actor
train_document.txt,284,63,112,Plot
train_document.txt,285,15,20,Origin
train_document.txt,285,29,34,Opinion
train_document.txt,285,36,39,Origin
train_document.txt,285,52,82,Plot
train_document.txt,286,10,14,Director
train_document.txt,286,16,24,Genre
train_document.txt,286,56,59,Year
train_document.txt,286,61,78,Plot
train_document.txt,287,29,34,Relationship
train_document.txt,287,46,53,Opinion
train_document.txt,287,55,64,Genre
train_document.txt,288,4,57,Plot
train_document.txt,288,67,70,Year
train_document.txt,288,72,87,Genre
train_document.txt,289,12,18,Actor
train_document.txt,289,40,85,Plot
train_document.txt,290,12,18,Genre
train_document.txt,290,25,94,Plot
train_document.txt,291,12,15,Year
train_document.txt,291,26,41,Director
train_document.txt,291,66,106,Quote
train_document.txt,291,118,129,Actor
train_document.txt,291,135,147,Actor
train_document.txt,292,27,30,Year
train_document.txt,292,69,90,Actor
train_document.txt,292,96,107,Actor
train_document.txt,292,109,148,Plot
train_document.txt,293,20,29,Director
train_document.txt,293,33,36,Year
train_document.txt,293,38,44,Origin
train_document.txt,293,46,51,Genre
train_document.txt,294,41,44,Year
train_document.txt,294,50,55,Relationship
train_document.txt,294,60,63,Year
train_document.txt,294,83,166,Plot
train_document.txt,295,12,15,Year
train_document.txt,295,35,51,Director
train_document.txt,295,64,76,Actor
train_document.txt,295,82,92,Actor
train_document.txt,295,111,154,Plot
train_document.txt,296,35,38,Actor
train_document.txt,296,57,79,Plot
train_document.txt,297,31,46,Origin
